Unnamed: 0	Q1value	Q2value	Q3value	Q4value
claude-3-7-sonnet-20250219_maximum	61.833	69.5	40.125	33.667
claude-3-7-sonnet-20250219_minimum	61.833	69.5	40.125	33.667
claude-3-7-sonnet-20250219_mean	61.833	69.5	40.125	33.667
claude-3-7-sonnet-20250219_std_dev	0.0	0.0	0.0	0.0
claude-3-7-sonnet-20250219_median	61.833	69.5	40.125	33.667
claude-3-7-sonnet-20250219_skewness				
claude-3-7-sonnet-20250219_kurtosis				
claude-3-haiku-20240307_maximum	67.375	62.542	41.583	60.5
claude-3-haiku-20240307_minimum	67.375	62.542	41.583	60.5
claude-3-haiku-20240307_mean	67.375	62.542	41.583	60.5
claude-3-haiku-20240307_std_dev	0.0	0.0	0.0	0.0
claude-3-haiku-20240307_median	67.375	62.542	41.583	60.5
claude-3-haiku-20240307_skewness				
claude-3-haiku-20240307_kurtosis				
gemini-2.0-flash_maximum	60.546	58.782	37.017	44.538
gemini-2.0-flash_minimum	60.546	58.782	37.017	44.538
gemini-2.0-flash_mean	60.546	58.782	37.017	44.538
gemini-2.0-flash_std_dev	0.0	0.0	0.0	0.0
gemini-2.0-flash_median	60.546	58.782	37.017	44.538
gemini-2.0-flash_skewness				
gemini-2.0-flash_kurtosis				
gemini-2.0-flash-lite_maximum	71.417	45.917	27.292	19.042
gemini-2.0-flash-lite_minimum	71.417	45.917	27.292	19.042
gemini-2.0-flash-lite_mean	71.417	45.917	27.292	19.042
gemini-2.0-flash-lite_std_dev	0.0	0.0	0.0	0.0
gemini-2.0-flash-lite_median	71.417	45.917	27.292	19.042
gemini-2.0-flash-lite_skewness				
gemini-2.0-flash-lite_kurtosis				
gemini-2.0-flash-thinking-exp_maximum	52.259	44.402	32.884	39.509
gemini-2.0-flash-thinking-exp_minimum	52.259	44.402	32.884	39.509
gemini-2.0-flash-thinking-exp_mean	52.259	44.402	32.884	39.509
gemini-2.0-flash-thinking-exp_std_dev	0.0	0.0	0.0	0.0
gemini-2.0-flash-thinking-exp_median	52.259	44.402	32.884	39.509
gemini-2.0-flash-thinking-exp_skewness				
gemini-2.0-flash-thinking-exp_kurtosis				
gemini-2.0-pro-exp_maximum	62.826	63.696	30.87	32.826
gemini-2.0-pro-exp_minimum	62.826	63.696	30.87	32.826
gemini-2.0-pro-exp_mean	62.826	63.696	30.87	32.826
gemini-2.0-pro-exp_std_dev	0.0	0.0	0.0	0.0
gemini-2.0-pro-exp_median	62.826	63.696	30.87	32.826
gemini-2.0-pro-exp_skewness				
gemini-2.0-pro-exp_kurtosis				
gemini-2.5-flash-preview-04-17_maximum	49.817	44.312	34.358	41.009
gemini-2.5-flash-preview-04-17_minimum	49.817	44.312	34.358	41.009
gemini-2.5-flash-preview-04-17_mean	49.817	44.312	34.358	41.009
gemini-2.5-flash-preview-04-17_std_dev	0.0	0.0	0.0	0.0
gemini-2.5-flash-preview-04-17_median	49.817	44.312	34.358	41.009
gemini-2.5-flash-preview-04-17_skewness				
gemini-2.5-flash-preview-04-17_kurtosis				
gemini-2.5-pro-preview-03-25_maximum	63.384	62.323	27.828	32.828
gemini-2.5-pro-preview-03-25_minimum	63.384	62.323	27.828	32.828
gemini-2.5-pro-preview-03-25_mean	63.384	62.323	27.828	32.828
gemini-2.5-pro-preview-03-25_std_dev	0.0	0.0	0.0	0.0
gemini-2.5-pro-preview-03-25_median	63.384	62.323	27.828	32.828
gemini-2.5-pro-preview-03-25_skewness				
gemini-2.5-pro-preview-03-25_kurtosis				
gemma-3-12b-it_maximum	61.25	54.958	32.75	24.458
gemma-3-12b-it_minimum	61.25	54.958	32.75	24.458
gemma-3-12b-it_mean	61.25	54.958	32.75	24.458
gemma-3-12b-it_std_dev	0.0	0.0	0.0	0.0
gemma-3-12b-it_median	61.25	54.958	32.75	24.458
gemma-3-12b-it_skewness				
gemma-3-12b-it_kurtosis				
gemma-3-1b-it_maximum	51.0	79.87	74.67	57.3
gemma-3-1b-it_minimum	51.0	79.87	74.67	57.3
gemma-3-1b-it_mean	51.0	79.87	74.67	57.3
gemma-3-1b-it_std_dev	0.0	0.0	0.0	0.0
gemma-3-1b-it_median	51.0	79.87	74.67	57.3
gemma-3-1b-it_skewness				
gemma-3-1b-it_kurtosis				
gemma-3-27b-it_maximum	64.5	46.333	32.167	32.0
gemma-3-27b-it_minimum	64.5	46.333	32.167	32.0
gemma-3-27b-it_mean	64.5	46.333	32.167	32.0
gemma-3-27b-it_std_dev	0.0	0.0	0.0	0.0
gemma-3-27b-it_median	64.5	46.333	32.167	32.0
gemma-3-27b-it_skewness				
gemma-3-27b-it_kurtosis				
gemma-3-4b-it_maximum	75.0	59.95	32.417	36.042
gemma-3-4b-it_minimum	75.0	59.95	32.417	36.042
gemma-3-4b-it_mean	75.0	59.95	32.417	36.042
gemma-3-4b-it_std_dev	0.0	0.0	0.0	0.0
gemma-3-4b-it_median	75.0	59.95	32.417	36.042
gemma-3-4b-it_skewness				
gemma-3-4b-it_kurtosis				
gpt-4.1_maximum	63.708	65.458	38.708	26.792
gpt-4.1_minimum	63.708	65.458	38.708	26.792
gpt-4.1_mean	63.708	65.458	38.708	26.792
gpt-4.1_std_dev	0.0	0.0	0.0	0.0
gpt-4.1_median	63.708	65.458	38.708	26.792
gpt-4.1_skewness				
gpt-4.1_kurtosis				
gpt-4.1-mini_maximum	57.75	52.792	39.292	33.958
gpt-4.1-mini_minimum	57.75	52.792	39.292	33.958
gpt-4.1-mini_mean	57.75	52.792	39.292	33.958
gpt-4.1-mini_std_dev	0.0	0.0	0.0	0.0
gpt-4.1-mini_median	57.75	52.792	39.292	33.958
gpt-4.1-mini_skewness				
gpt-4.1-mini_kurtosis				
gpt-4.1-nano_maximum	75.083	58.875	20.417	22.792
gpt-4.1-nano_minimum	75.083	58.875	20.417	22.792
gpt-4.1-nano_mean	75.083	58.875	20.417	22.792
gpt-4.1-nano_std_dev	0.0	0.0	0.0	0.0
gpt-4.1-nano_median	75.083	58.875	20.417	22.792
gpt-4.1-nano_skewness				
gpt-4.1-nano_kurtosis				
gpt-4o_maximum	66.917	66.708	29.417	26.667
gpt-4o_minimum	66.917	66.708	29.417	26.667
gpt-4o_mean	66.917	66.708	29.417	26.667
gpt-4o_std_dev	0.0	0.0	0.0	0.0
gpt-4o_median	66.917	66.708	29.417	26.667
gpt-4o_skewness				
gpt-4o_kurtosis				
gpt-4o-mini_maximum	71.958	49.167	30.625	22.417
gpt-4o-mini_minimum	71.958	49.167	30.625	22.417
gpt-4o-mini_mean	71.958	49.167	30.625	22.417
gpt-4o-mini_std_dev	0.0	0.0	0.0	0.0
gpt-4o-mini_median	71.958	49.167	30.625	22.417
gpt-4o-mini_skewness				
gpt-4o-mini_kurtosis				
grok-2-latest_maximum	71.917	59.333	26.417	24.542
grok-2-latest_minimum	71.917	59.333	26.417	24.542
grok-2-latest_mean	71.917	59.333	26.417	24.542
grok-2-latest_std_dev	0.0	0.0	0.0	0.0
grok-2-latest_median	71.917	59.333	26.417	24.542
grok-2-latest_skewness				
grok-2-latest_kurtosis				
grok-3-fast-latest_maximum	61.417	58.083	34.0	31.0
grok-3-fast-latest_minimum	61.417	58.083	34.0	31.0
grok-3-fast-latest_mean	61.417	58.083	34.0	31.0
grok-3-fast-latest_std_dev	0.0	0.0	0.0	0.0
grok-3-fast-latest_median	61.417	58.083	34.0	31.0
grok-3-fast-latest_skewness				
grok-3-fast-latest_kurtosis				
grok-3-latest_maximum	61.417	58.292	33.833	31.625
grok-3-latest_minimum	61.417	58.292	33.833	31.625
grok-3-latest_mean	61.417	58.292	33.833	31.625
grok-3-latest_std_dev	0.0	0.0	0.0	0.0
grok-3-latest_median	61.417	58.292	33.833	31.625
grok-3-latest_skewness				
grok-3-latest_kurtosis				
grok-3-mini-fast-latest_maximum	59.917	50.125	32.375	35.583
grok-3-mini-fast-latest_minimum	59.917	50.125	32.375	35.583
grok-3-mini-fast-latest_mean	59.917	50.125	32.375	35.583
grok-3-mini-fast-latest_std_dev	0.0	0.0	0.0	0.0
grok-3-mini-fast-latest_median	59.917	50.125	32.375	35.583
grok-3-mini-fast-latest_skewness				
grok-3-mini-fast-latest_kurtosis				
grok-3-mini-latest_maximum	61.042	49.625	32.917	36.458
grok-3-mini-latest_minimum	61.042	49.625	32.917	36.458
grok-3-mini-latest_mean	61.042	49.625	32.917	36.458
grok-3-mini-latest_std_dev	0.0	0.0	0.0	0.0
grok-3-mini-latest_median	61.042	49.625	32.917	36.458
grok-3-mini-latest_skewness				
grok-3-mini-latest_kurtosis				
o1-mini_maximum	58.583	58.167	46.208	53.708
o1-mini_minimum	58.583	58.167	46.208	53.708
o1-mini_mean	58.583	58.167	46.208	53.708
o1-mini_std_dev	0.0	0.0	0.0	0.0
o1-mini_median	58.583	58.167	46.208	53.708
o1-mini_skewness				
o1-mini_kurtosis				
o3_maximum	64.825	61.1	36.55	35.0
o3_minimum	64.825	61.1	36.55	35.0
o3_mean	64.825	61.1	36.55	35.0
o3_std_dev	0.0	0.0	0.0	0.0
o3_median	64.825	61.1	36.55	35.0
o3_skewness				
o3_kurtosis				
o3-mini_maximum	75.958	64.442	20.958	30.875
o3-mini_minimum	75.958	64.442	20.958	30.875
o3-mini_mean	75.958	64.442	20.958	30.875
o3-mini_std_dev	0.0	0.0	0.0	0.0
o3-mini_median	75.958	64.442	20.958	30.875
o3-mini_skewness				
o3-mini_kurtosis				
o4-mini_maximum	59.42	59.0	33.084	29.126
o4-mini_minimum	59.42	59.0	33.084	29.126
o4-mini_mean	59.42	59.0	33.084	29.126
o4-mini_std_dev	0.0	0.0	0.0	0.0
o4-mini_median	59.42	59.0	33.084	29.126
o4-mini_skewness				
o4-mini_kurtosis				
